bulan-tahun;jumlah
Jan-18;8737261
Feb-18;11875393
Mar-18;29864328
Apr-18;31041731
May-18;27103815
Jun-18;35023485
Jul-18;34976459
Aug-18;13628078
Sep-18;10093604
Oct-18;5586744
Nov-18;9623074
Dec-18;14894002
Jan-19;5855064
Feb-19;3555180
Mar-19;4182565
Apr-19;2493871
May-19;3662897
Jun-19;2336136
Jul-19;5879001
Aug-19;13818137
Sep-19;87852463
Oct-19;86183069
Nov-19;34215844
Dec-19;40346288
Jan-20;25224811
Feb-20;29188645
Mar-20;26423989
Apr-20;18088514
May-20;19323941
Jun-20;31533717
Jul-20;40153925
Aug-20;63054697
Sep-20;53654789
Oct-20;66402749
Nov-20;50194276
Dec-20;72093149
Jan-21;59316206
Feb-21;44901308
Mar-21;50402748
Apr-21;115898735
May-21;186202637
Jun-21;164446175
Jul-21;120593162
Aug-21;146950765
Sep-21;123645909
Oct-21;186985509
Nov-21;196563700
Dec-21;242066168
Jan-22;273313399
Feb-22;111773819
